Your address (Street Address),Your address (Address Line 2),Your address (City),Your address (State / Province),Your address (ZIP / Postal Code),Your address (Country),Tour choice,Drink order,Phone,Hand bag,Pet,Complete Works of Shakespeare,Please answer: I believe that it is important to brush my teeth after every meal.,Total,Created By (User Id),Entry Id,Entry Date,Date Updated,Transaction Id,Payment Amount,Payment Date,Payment Status,Post Id,User Agent,Approval Status,Workflow Current Status Timestamp,Help Scout Conversation ID
,,,Alaska,,United States,Dinosaur|10,Coffee,Phone,,,,2. Disagree,10,,5934,11/9/2018 12:47,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,3,,
,,,Florida,,United States,Dinosaur|10,Coffee,,Hand bag,Pet,Complete Works of Shakespeare,3. Neutral,10,,5933,11/9/2018 10:13,,,,,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36",3,,
,,,Kansas,,United States,Dinosaur|10,Tea,,,,Complete Works of Shakespeare,5. Strongly agree,10,,5932,11/9/2018 8:39,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0,3,,
,,,Kentucky,,United States,Dinosaur|10,Tea,,Hand bag,,,2. Disagree,10,,5931,11/9/2018 3:17,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,3,,
,,,Connecticut,,United States,Leopard|20,Coffee,,Hand bag,,,3. Neutral,20,,5930,10/9/2018 23:52,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,Phone,,,,5. Strongly agree,10,,5929,10/9/2018 20:49,,,,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5927,10/9/2018 12:20,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Kentucky,,United States,Leopard|20,No,Phone,,,,5. Strongly agree,20,,5926,10/9/2018 1:16,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Florida,,United States,Poetry|5,Tea,Phone,Hand bag,,,4. Agree,5,,5925,8/9/2018 4:39,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,3,,
,,,Alabama,,United States,Dinosaur|10,Coffee,,Hand bag,,,3. Neutral,10,,5924,8/9/2018 0:01,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Hawaii,,United States,Leopard|20,Tea,Phone,,,,3. Neutral,20,,5923,7/9/2018 22:41,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,3,,
,,,Ohio,,United States,Poetry|5,Tea,,,Pet,Complete Works of Shakespeare,5. Strongly agree,5,,5922,7/9/2018 22:11,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alabama,,United States,Etchings|18.5,Coffee,Phone,,,,1. Strongly disagree,18.5,,5921,7/9/2018 17:04,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,California,,United States,Leopard|20,Tea,Phone,,,,3. Neutral,20,,5919,6/9/2018 23:43,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Arkansas,,United States,Dinosaur|10,Tea,Phone,Hand bag,,,1. Strongly disagree,10,,5918,6/9/2018 1:37,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Alaska,,United States,Dinosaur|10,Coffee,Phone,Hand bag,,,2. Disagree,10,,5916,5/9/2018 17:35,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.81 Safari/537.36",3,,
,,,Rhode Island,,United States,Poetry|5,Tea,Phone,,,,3. Neutral,5,,5912,5/9/2018 9:55,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Virginia,,United States,Dinosaur|10,Coffee,Phone,,,,2. Disagree,10,,5911,5/9/2018 9:34,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Arkansas,,United States,Dinosaur|10,No,Phone,Hand bag,,,2. Disagree,10,,5910,5/9/2018 9:02,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3,,
,,,Arizona,,United States,Leopard|20,Coffee,,Hand bag,,,2. Disagree,20,,5909,5/9/2018 7:02,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",3,,
,,,Louisiana,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5908,5/9/2018 4:58,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Hawaii,,United States,Leopard|20,Tea,,Hand bag,,,4. Agree,20,,5907,4/9/2018 13:27,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Georgia,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5905,3/9/2018 22:45,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Colorado,,United States,Leopard|20,Coffee,Phone,,,,3. Neutral,20,,5904,3/9/2018 17:25,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,California,,United States,Dinosaur|10,Tea,Phone,,,,3. Neutral,10,,5903,3/9/2018 9:51,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Tea,,,,,2. Disagree,10,,5902,2/9/2018 23:46,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,,,,Complete Works of Shakespeare,5. Strongly agree,10,,5898,1/9/2018 1:26,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Nebraska,,United States,Leopard|20,Coffee,Phone,Hand bag,,,4. Agree,20,,5897,30/8/2018 19:04,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Colorado,,United States,Poetry|5,Coffee,,,Pet,,4. Agree,5,,5896,30/8/2018 7:46,,,,,,,"Mozilla/5.0 (Linux; Android 9; Pixel 2 XL Build/PPR1.180610.009) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.91 Mobile Safari/537.36",3,,
,,,Arizona,,United States,Leopard|20,Coffee,Phone,,,,1. Strongly disagree,20,,5895,30/8/2018 6:54,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Idaho,,United States,Leopard|20,Coffee,,,Pet,,4. Agree,20,,5894,30/8/2018 5:12,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:62.0) Gecko/20100101 Firefox/62.0,3,,
,,,Minnesota,,United States,Leopard|20,Tea,Phone,,,,5. Strongly agree,20,,5893,30/8/2018 4:15,,,,,,,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64",3,,
,,,Hawaii,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5891,29/8/2018 17:30,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Rhode Island,,United States,Etchings|18.5,Tea,Phone,,,,1. Strongly disagree,18.5,,5890,29/8/2018 9:24,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alaska,,United States,Leopard|20,Tea,,Hand bag,,,3. Neutral,20,,5888,28/8/2018 20:42,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Connecticut,,United States,Dinosaur|10,No,Phone,Hand bag,,,2. Disagree,10,,5886,28/8/2018 18:28,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Arkansas,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,5884,28/8/2018 5:45,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",3,,
,,,New York,,United States,Etchings|18.5,Tea,Phone,,Pet,,1. Strongly disagree,18.5,,5882,27/8/2018 22:40,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.12 Safari/537.36 OPR/56.0.3051.0 (Edition developer)",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,2. Disagree,10,,5881,27/8/2018 22:06,,,,,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Illinois,,United States,Leopard|20,Tea,Phone,,,,3. Neutral,20,,5876,26/8/2018 20:54,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:62.0) Gecko/20100101 Firefox/62.0,3,,
,,,Georgia,,United States,Etchings|18.5,Coffee,,Hand bag,Pet,,2. Disagree,18.5,,5875,26/8/2018 12:26,,,,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3530.0 Safari/537.36",3,,
,,,Connecticut,,United States,Etchings|18.5,Coffee,,,,Complete Works of Shakespeare,1. Strongly disagree,18.5,,5874,26/8/2018 10:44,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Iowa,,United States,Leopard|20,Tea,,Hand bag,,,2. Disagree,20,,5872,26/8/2018 4:49,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Kentucky,,United States,Leopard|20,Tea,Phone,,,,2. Disagree,20,,5871,25/8/2018 6:25,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Coffee,Phone,,,,5. Strongly agree,10,,5869,24/8/2018 14:22,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Idaho,,United States,Dinosaur|10,Tea,Phone,Hand bag,,,5. Strongly agree,10,,5868,23/8/2018 19:39,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,South Carolina,,United States,Dinosaur|10,Coffee,Phone,Hand bag,,,5. Strongly agree,10,,5867,23/8/2018 19:38,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5866,23/8/2018 14:07,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Colorado,,United States,Dinosaur|10,Tea,,,,Complete Works of Shakespeare,3. Neutral,10,,5865,23/8/2018 9:03,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Iowa,,United States,Leopard|20,Tea,,Hand bag,,,1. Strongly disagree,20,,5862,22/8/2018 21:54,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Iowa,,United States,Etchings|18.5,Tea,Phone,,,,5. Strongly agree,18.5,,5861,22/8/2018 19:44,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,3,,
,,,Massachusetts,,United States,Etchings|18.5,Tea,Phone,,,Complete Works of Shakespeare,4. Agree,18.5,,5859,22/8/2018 18:31,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,3,,
,,,Mississippi,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,5857,21/8/2018 2:45,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,New Jersey,,United States,Dinosaur|10,Tea,Phone,,,,4. Agree,10,,5856,21/8/2018 1:16,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,California,,United States,Etchings|18.5,Coffee,Phone,Hand bag,,,1. Strongly disagree,18.5,,5855,18/8/2018 13:02,,,,,,,Mozilla/5.0 (Android 8.0.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0,3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5854,18/8/2018 0:57,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,South Carolina,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,5853,17/8/2018 21:03,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Tea,Phone,Hand bag,Pet,,1. Strongly disagree,10,,5852,17/8/2018 3:45,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,District of Columbia,,United States,Etchings|18.5,Tea,,Hand bag,,,2. Disagree,18.5,,5851,15/8/2018 14:21,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alaska,,United States,Leopard|20,Coffee,,Hand bag,,,2. Disagree,20,,5850,14/8/2018 20:24,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,,Hand bag,,,3. Neutral,10,,5849,14/8/2018 20:15,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Nebraska,,United States,Leopard|20,Coffee,,,Pet,,2. Disagree,20,,5848,14/8/2018 13:59,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,Phone,,,,3. Neutral,10,,5847,14/8/2018 12:09,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Arkansas,,United States,Leopard|20,Tea,,Hand bag,,,2. Disagree,20,,5842,12/8/2018 19:14,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3,,
,,,District of Columbia,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5840,11/8/2018 1:13,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,Pet,,3. Neutral,10,,5835,10/8/2018 5:20,,,,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Colorado,,United States,Leopard|20,Coffee,Phone,,,,5. Strongly agree,20,,5834,10/8/2018 2:52,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3,,
,,,Alabama,,United States,Etchings|18.5,Coffee,Phone,Hand bag,Pet,Complete Works of Shakespeare,3. Neutral,18.5,,5832,10/8/2018 0:52,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3,,
,,,Illinois,,United States,Etchings|18.5,Tea,Phone,,,,3. Neutral,18.5,,5831,9/8/2018 22:33,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",3,,
,,,Maryland,,United States,Dinosaur|10,Tea,Phone,Hand bag,,,2. Disagree,10,,5829,9/8/2018 20:33,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",3,,
,,,Georgia,,United States,Dinosaur|10,Coffee,Phone,,,,4. Agree,10,,5825,8/8/2018 23:09,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36",,,
,,,Michigan,,United States,Leopard|20,Coffee,,Hand bag,,,3. Neutral,20,,5822,8/8/2018 6:12,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15",,,
,,,Delaware,,United States,Dinosaur|10,Coffee,Phone,,,,3. Neutral,10,,5821,8/8/2018 4:38,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Alaska,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5820,7/8/2018 21:31,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Arkansas,,United States,Etchings|18.5,Coffee,Phone,,,,2. Disagree,18.5,,5817,7/8/2018 8:37,,,,,,,"Mozilla/5.0 (Linux; Android 8.1.0; Pixel 2 Build/OPM2.171026.006.G1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.85 Mobile Safari/537.36",,,
,,,Alaska,,United States,Dinosaur|10,Coffee,,Hand bag,,,3. Neutral,10,,5816,7/8/2018 1:15,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Maryland,,United States,Leopard|20,Tea,Phone,Hand bag,,,1. Strongly disagree,20,,5815,6/8/2018 22:41,,,,,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Hawaii,,United States,Leopard|20,Tea,,Hand bag,,Complete Works of Shakespeare,3. Neutral,20,,5814,6/8/2018 16:02,,,,,,,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36",,,
,,,Alabama,,United States,Dinosaur|10,Coffee,,Hand bag,,,1. Strongly disagree,10,,5812,6/8/2018 7:24,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Tennessee,,United States,Leopard|20,Coffee,,,Pet,Complete Works of Shakespeare,4. Agree,20,,5811,5/8/2018 7:33,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Alaska,,United States,Dinosaur|10,Coffee,Phone,Hand bag,,,5. Strongly agree,10,,5810,5/8/2018 1:49,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/68.0.3440.70 Mobile/15G77 Safari/604.1",,,
,,,Georgia,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,5809,4/8/2018 22:49,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Arizona,,United States,Dinosaur|10,Coffee,,Hand bag,,,1. Strongly disagree,10,,5808,4/8/2018 22:24,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",,,
,,,Alaska,,United States,Leopard|20,Coffee,Phone,,,,2. Disagree,20,,5801,3/8/2018 22:05,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Alaska,,United States,Dinosaur|10,Tea,,,Pet,,1. Strongly disagree,10,,5800,3/8/2018 17:36,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Arkansas,,United States,Etchings|18.5,Tea,Phone,,,,2. Disagree,18.5,,5799,3/8/2018 17:35,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Armed Forces Americas,,United States,Leopard|20,Coffee,Phone,,Pet,,4. Agree,20,,5798,3/8/2018 14:15,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Arizona,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,5797,3/8/2018 12:51,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",,,
,,,Connecticut,,United States,Dinosaur|10,Tea,,Hand bag,,,2. Disagree,10,,5793,2/8/2018 16:38,,,,,,,Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0,,,
,,,Armed Forces Europe,,United States,Etchings|18.5,Coffee,Phone,Hand bag,,,4. Agree,18.5,,5792,2/8/2018 8:08,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64",,,
,,,Alabama,,United States,Dinosaur|10,Coffee,Phone,,,,2. Disagree,10,,5791,2/8/2018 7:01,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Hawaii,,United States,Dinosaur|10,Coffee,Phone,Hand bag,,Complete Works of Shakespeare,3. Neutral,10,,5790,2/8/2018 0:38,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
,,,Alaska,,United States,Leopard|20,Coffee,Phone,,Pet,,4. Agree,20,,5787,1/8/2018 13:36,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D60",,,
,,,Alabama,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,5786,1/8/2018 10:15,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:61.0) Gecko/20100101 Firefox/61.0,,,
,,,Alabama,,United States,Etchings|18.5,Tea,,Hand bag,,Complete Works of Shakespeare,5. Strongly agree,18.5,,5785,1/8/2018 6:15,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",,,
,,,Indiana,,United States,Leopard|20,Tea,,,,Complete Works of Shakespeare,3. Neutral,20,,5780,31/7/2018 0:01,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",,,
