ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
China National Building Material Company Limited (SEHK:3323),4982025,SEHK,"Materials; Materials; Construction Materials; Construction Materials; Concrete; Cement, Hydraulic; Ready-Mixed Concrete; Glass",2.35,4.10,5.93,12.70,12.88,"25,135.62",5.34,12.85,13.70,14.93,8.21,5.34,21.89,29.15,28.07,73.97,84.40,5.19,8.70,67.63,9.00,9.32,3.56,8.98,9.56,6.46,9.61,6.41,(33.30),6.53,3.34,(48.85),,,,2.35,67.63,,21.89,67.63
China Nonferrous Mining Corporation Limited (SEHK:1258),4349160,SEHK,Materials; Metals and Mining; Copper Ores; Materials; Copper,3.61,2.73,3.59,7.48,4.31,"25,519.32",15.83,15.85,12.33,26.91,16.97,15.83,21.69,9.83,19.12,54.17,37.99,1.88,1.82,(3.19),1.82,2.20,20.88,2.19,3.10,41.55,3.06,4.01,31.05,3.92,5.13,30.87,,,,3.61,-3.19,,21.69,-3.19
China Oilfield Services Limited (SEHK:2883),4977152,SEHK,Energy; Energy; Energy Equipment and Services; Oil and Gas Drilling; Oil Rig Services,0.65,2.66,3.02,0.25,2.24,"76,173.41",7.98,7.06,7.19,0.84,6.39,7.98,13.35,28.24,259.02,36.70,31.64,6.41,12.22,90.64,12.12,6.56,(45.87),6.57,6.83,3.96,6.84,9.49,38.74,9.67,7.98,(17.48),,,,0.65,90.64,,13.35,90.64
China Overseas Grand Oceans Group Limited (SEHK:81),4835829,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,3.19,6.37,8.96,10.62,7.78,"5,552.62",5.36,17.81,18.89,17.92,8.36,5.36,15.68,18.79,20.02,18.88,NA,2.48,5.39,117.34,5.48,4.16,(24.09),3.95,3.96,0.25,3.94,3.39,(13.96),3.48,2.57,(26.15),,,,3.19,117.34,,15.68,117.34
China Overseas Land & Investment Limited (SEHK:688),4143457,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Land Sub Dividers And Developers; Real Estate Management and Development,3.13,6.05,6.39,5.63,5.45,"125,209.47",7.06,15.67,15.45,12.56,6.73,7.06,24.39,25.53,26.96,32.85,31.66,25.40,30.35,19.49,30.70,16.86,(45.08),16.50,18.46,11.88,18.42,20.60,11.83,21.00,13.76,(34.48),,,,3.13,19.49,,24.39,19.49
China Overseas Property Holdings Limited (SEHK:2669),4864500,SEHK,Real Estate; Real Estate Management and Development; Real Estate Management and Development; Real Estate Services; Real Estate Agents And Brokers,0.86,1.24,0.87,1.23,2.30,"13,365.72",36.03,40.77,38.03,37.68,38.14,36.03,25.67,23.48,24.05,25.82,NA,2.29,4.90,113.97,4.99,4.04,(19.04),4.04,8.27,104.70,7.91,8.13,2.78,8.80,5.86,(33.41),,,,0.86,113.97,,25.67,113.97
China Petroleum & Chemical Corporation (SEHK:386),5576887,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Integrated Oil and Gas",9.32,9.84,7.46,14.50,9.20,"814,716.10",7.16,8.32,4.76,9.55,8.25,7.16,80.02,69.51,48.78,85.02,69.90,5.44,4.69,(13.79),4.70,3.47,(26.17),3.53,3.63,2.83,3.69,3.77,2.17,3.82,4.09,7.07,,,,9.32,-13.79,,80.02,-13.79
China Power International Development Limited (SEHK:2380),5001021,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders,7.74,8.59,2.96,1.87,4.38,"38,842.27",5.54,5.00,6.44,1.38,4.44,5.54,84.03,74.46,NM,26.09,57.92,1.76,1.67,(5.11),1.69,1.66,(1.78),1.67,5.25,214.37,5.45,3.30,(39.45),3.61,2.87,(20.50),,,,7.74,-5.11,,84.03,-5.11
China Reinsurance (Group) Corporation (SEHK:1508),4175234,SEHK,Financials; Insurance; Insurance; Reinsurance; Casualty Reinsurance Carriers; Accident Reinsurance; Fire and Marine Reinsurance Carriers; Health and Medical Reinsurance Carriers; Life Reinsurance Carriers,2.75,6.02,6.56,10.65,3.36,"22,089.50",5.88,7.21,5.93,5.75,1.55,5.88,30.95,30.95,33.43,NM,31.56,1.57,1.28,(18.47),1.33,0.80,(39.85),0.81,0.75,(7.41),0.75,0.50,(34.00),0.51,0.46,(10.78),,,,2.75,-18.47,,30.95,-18.47
China Resources Beer (Holdings) Company Limited (SEHK:291),4913706,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Beverages; Brewers; Beer, Ale and Malt Beverages",0.39,0.27,0.74,1.15,1.90,"104,462.50",17.03,6.78,10.21,20.06,16.87,17.03,37.12,26.79,27.93,40.03,NA,25.85,43.10,66.73,42.50,71.40,68.00,74.00,63.85,(13.72),60.50,54.55,(9.83),54.95,34.20,(37.76),,,,0.39,66.73,,37.12,66.73
China Resources Building Materials Technology Holdings Limited (SEHK:1313),4985313,SEHK,"Materials; Materials; Construction Materials; Construction Materials; Concrete; Cement, Hydraulic; Ready-Mixed Concrete; Stone Materials",5.37,7.04,9.85,9.66,2.94,"7,611.40",1.35,21.69,19.57,14.62,3.50,1.35,43.19,47.54,52.14,144.30,NA,6.96,9.92,42.53,10.26,8.66,(15.59),8.56,5.89,(31.19),5.98,4.14,(30.77),4.23,1.70,(59.81),,,,5.37,42.53,,43.19,42.53
China Resources Gas Group Limited (SEHK:1193),5000745,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,1.80,2.11,2.11,4.33,4.10,"55,420.61",12.18,19.28,16.23,16.73,11.84,12.18,33.26,38.31,32.98,60.86,NA,30.50,42.80,40.33,42.50,41.25,(2.94),42.00,44.05,4.88,44.10,29.30,(33.56),29.60,25.60,(13.51),,,,1.80,40.33,,33.26,40.33
China Resources Land Limited (SEHK:1109),4143939,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,3.24,3.73,4.63,4.73,5.75,"164,724.70",10.28,16.55,13.86,13.64,10.22,10.28,25.80,30.10,30.27,35.69,NA,28.25,38.80,37.35,39.40,32.00,(18.78),31.00,32.80,5.81,32.60,35.75,9.66,36.60,28.00,(23.50),,,,3.24,37.35,,25.80,37.35
China Resources Pharmaceutical Group Limited (SEHK:3320),4972739,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Pharmaceutical Products; Anti-infective Drugs; Cardiovascular Drugs; Central Nervous System Drugs; Gastrointestinal Drugs; Generic Pharmaceuticals; Hematologic Drugs; Oncology Drugs; Respiratory Drugs",1.80,2.76,3.38,2.37,3.12,"29,213.67",8.89,7.84,7.12,7.60,8.47,8.89,24.86,20.96,20.00,22.72,NA,9.76,7.23,(25.92),7.34,3.98,(45.78),3.96,3.55,(10.35),4.67,6.32,35.33,6.52,5.13,(21.32),,,,1.80,-25.92,,24.86,-25.92
China Resources Power Holdings Company Limited (SEHK:836),4157537,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders,3.68,6.86,2.51,1.60,4.50,"92,168.10",11.49,8.95,8.76,0.91,6.85,11.49,29.41,39.45,169.23,23.38,33.76,14.70,10.94,(25.58),11.00,8.35,(24.09),8.35,26.10,212.57,27.45,15.96,(41.86),16.58,15.64,(5.67),,,,3.68,-25.58,,29.41,-25.58
China Risun Group Limited (SEHK:1907),14264773,SEHK,Materials; Materials; Chemicals; Commodity Chemicals,6.00,2.58,5.75,7.14,1.93,"13,349.23",7.31,23.86,21.79,26.66,15.70,7.31,98.81,15.84,38.73,44.39,29.81,NA,2.60,#VALUE!,2.57,2.76,7.39,2.80,4.73,68.93,4.77,3.05,(36.06),3.10,3.29,6.13,,,,6.00,#VALUE!,,98.81,#VALUE!
China Shenhua Energy Company Limited (SEHK:1088),4230011,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Coal and Consumable Fuels; Bituminous Coal And Lignite Mining",6.33,9.44,11.80,13.86,10.87,"854,705.09",14.85,12.01,10.35,13.84,17.99,14.85,41.97,69.91,69.94,76.66,88.98,16.68,16.28,(2.40),16.56,14.60,(11.84),14.58,18.28,25.38,18.66,22.55,20.85,23.05,26.75,16.05,,,,6.33,-2.40,,41.97,-2.40
China Shineway Pharmaceutical Group Limited (SEHK:2877),4810477,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products; Cardiovascular Drugs; Central Nervous System Drugs; Respiratory Drugs; Non-Prescription Drugs; Gastrointestinal Drugs",3.53,4.79,10.42,5.05,8.20,"7,085.65",14.45,8.72,5.10,9.52,11.77,14.45,35.53,58.83,81.39,33.44,NA,7.61,7.38,(3.02),7.35,5.31,(27.76),5.33,6.89,29.27,6.83,7.59,11.13,7.80,7.27,(6.79),,,,3.53,-3.02,,35.53,-3.02
China State Construction International Holdings Limited (SEHK:3311),4990392,SEHK,"Industrials; Capital Goods; Construction and Engineering; Commercial Construction and Engineering; Commercial Construction, General Contractors and Operative Builders; Commercial and Institutional Buildings; Industrial Buildings and Warehouses; Construction Support Services; Construction Management Services; Engineering and Surveying Services; Engineering Services; Heavy Construction; Specialty Contract Work; Construction and Engineering; Hotel and Motel Construction; Highway and Street Construction; Bridge, Tunnel, and Elevated Highway Construction",3.95,7.47,4.02,5.07,5.70,"43,575.38",13.67,12.18,11.88,11.95,12.64,13.67,29.04,32.02,33.32,30.66,NA,6.01,7.08,17.80,7.28,4.42,(39.29),4.54,9.69,113.44,9.81,8.77,(10.60),8.47,9.03,6.61,,,,3.95,17.80,,29.04,17.80
China Suntien Green Energy Corporation Limited (SEHK:956),4980647,SEHK,"Oil, Gas and Consumable Fuels; Oil and Gas Storage and Transportation; Energy; Energy; Fuel Dealers; Natural Gas Pipelines",6.32,6.00,2.70,6.03,7.68,"28,086.38",10.53,13.47,12.29,14.06,11.48,10.53,35.31,119.97,85.63,99.52,100.06,1.94,2.25,15.98,2.26,2.38,5.31,2.69,6.08,126.02,6.70,3.25,(51.49),3.29,2.84,(13.68),,,,6.32,15.98,,35.31,15.98
China Taiping Insurance Holdings Company Limited (SEHK:966),4259322,SEHK,Financials; Insurance; Insurance; Life and Health Insurance; Health and Medical Insurance; Life Insurance,0.52,2.15,3.74,4.73,3.87,"21,779.75",8.89,14.38,9.93,9.52,5.22,8.89,12.21,21.95,22.00,21.75,20.06,20.50,19.32,(5.76),20.20,13.98,(30.79),14.02,10.70,(23.68),11.00,9.72,(11.64),9.83,6.72,(31.64),,,,0.52,-5.76,,12.21,-5.76
China Telecom Corporation Limited (SEHK:728),4222730,SEHK,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services; Integrated Telecommunication Services,3.89,5.81,4.81,7.76,6.46,"576,255.65",6.89,5.93,5.85,6.56,6.38,6.89,43.34,44.42,32.52,103.39,74.57,3.92,3.21,(18.11),3.20,2.15,(32.81),2.09,2.60,24.40,2.59,3.07,18.53,3.19,3.74,17.24,,,,3.89,-18.11,,43.34,-18.11
China Tower Corporation Limited (SEHK:788),7665552,SEHK,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services,0.15,1.39,3.13,3.69,4.47,"154,887.45",4.98,2.88,3.49,3.90,4.59,4.98,7.58,39.84,53.68,52.56,NA,1.40,1.72,22.86,1.72,1.14,(33.72),1.10,0.86,(21.82),0.85,0.84,(1.18),0.86,0.82,(4.65),,,,0.15,22.86,,7.58,22.86
China Unicom (Hong Kong) Limited (SEHK:762),4999366,SEHK,Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services; Communication Services,2.12,3.64,6.24,6.29,7.03,"179,305.01",5.43,3.58,3.88,4.39,4.97,5.43,36.19,43.60,60.48,47.69,NA,8.07,7.34,(9.05),7.32,4.45,(39.21),4.47,3.90,(12.75),3.91,4.83,23.53,5.18,4.90,(5.41),,,,2.12,-9.05,,36.19,-9.05
China Water Affairs Group Limited (SEHK:855),4260686,SEHK,Utilities; Utilities; Water Utilities; Sewage Treatment Systems; Water Supply; Water Utilities,5.15,5.12,2.86,5.27,7.23,"7,671.92",14.83,17.71,18.57,17.15,15.91,14.83,31.73,29.35,29.08,27.58,15.82,8.33,5.83,(30.01),5.86,6.06,3.41,6.08,11.18,83.88,11.44,6.45,(43.62),6.72,4.29,(36.16),,,,5.15,-30.01,,31.73,-30.01
China XLX Fertiliser Ltd. (SEHK:1866),4981080,SEHK,Materials; Materials; Chemicals; Fertilizers and Agricultural Chemicals; Nitrogenous Fertilizers,4.82,3.49,2.23,5.74,7.89,"5,021.15",16.31,7.79,8.63,24.62,20.63,16.31,37.64,26.96,8.97,18.36,27.02,2.51,2.40,(4.38),2.40,2.50,4.17,2.58,5.33,106.59,5.89,4.06,(31.07),4.03,3.49,(13.40),,,,4.82,-4.38,,37.64,-4.38
"Chongqing Rural Commercial Bank Co., Ltd. (SEHK:3618)",4296051,SEHK,Financials; Banks; Banks; Regional Banks; Regional Commercial Banks,5.87,7.95,9.70,11.11,9.96,"52,141.19",9.29,12.34,9.27,9.64,9.44,9.29,24.22,30.61,28.57,29.20,30.05,4.14,3.98,(3.86),4.04,3.16,(21.78),3.10,2.77,(10.65),2.83,2.67,(5.65),2.70,3.03,12.22,,,,5.87,-3.86,,24.22,-3.86
Chow Sang Sang Holdings International Limited (SEHK:116),4913865,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Jewelry, Timepieces and Gemstone Products; Jewelry",5.99,3.41,3.67,4.16,3.90,"5,575.28",8.71,6.11,5.64,5.98,3.87,8.71,61.06,37.33,42.12,64.40,NA,11.32,9.69,(14.40),9.96,8.80,(11.65),9.15,10.90,19.13,11.10,10.34,(6.85),10.56,8.98,(14.96),,,,5.99,-14.40,,61.06,-14.40
Chow Tai Fook Jewellery Group Limited (SEHK:1929),4913771,SEHK,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Specialty Retail; Other Specialty Retail,4.30,2.87,4.42,3.14,4.56,"101,675.16",16.17,14.30,10.22,21.09,20.81,16.17,65.55,110.31,46.46,68.53,92.86,6.42,7.45,16.04,7.55,9.75,29.14,9.75,14.02,43.79,14.00,15.92,13.71,16.46,11.62,(29.40),,,,4.30,16.04,,65.55,16.04
CIMC Enric Holdings Limited (SEHK:3899),4992510,SEHK,"Industrials; Capital Goods; Machinery; Industrial Machinery and Supplies and Components; Industrial Heating, Ventilation, Air Conditioning, and Refrigeration Equipment and Supplies; Air and Gas Compressors; Material Handling Machinery and Equipment; Warehousing and Storage Equipment and Supplies; Storage Tanks and Cylinders",3.01,4.31,1.23,2.66,3.40,"15,354.06",10.63,12.94,7.62,11.38,12.04,10.63,27.02,62.83,26.70,34.52,NA,5.83,4.65,(20.24),4.79,4.64,(3.13),5.06,11.34,124.11,12.26,7.89,(35.64),7.75,7.06,(8.90),,,,3.01,-20.24,,27.02,-20.24
CITIC Limited (SEHK:267),4199168,SEHK,Industrials; Capital Goods; Industrial Conglomerates; Industrial Conglomerates,4.22,7.01,6.99,7.96,8.30,"198,395.59",8.13,9.17,8.51,9.22,9.66,8.13,23.74,19.78,22.29,25.28,NA,11.84,10.42,(11.99),10.42,5.49,(47.31),5.54,7.70,38.99,7.77,8.24,6.05,8.23,7.80,(5.22),,,,4.22,-11.99,,23.74,-11.99
CITIC Telecom International Holdings Limited (SEHK:1883),4488942,SEHK,Communication Services; Telecommunication Services; Diversified Telecommunication Services; Alternative Carriers; Broadband Telecommunications Services,6.69,8.20,8.17,8.68,7.47,"9,363.26",11.74,11.14,10.80,11.08,11.86,11.74,69.26,71.65,73.51,71.20,73.60,2.74,2.84,3.65,2.83,2.44,(13.78),2.44,2.63,7.79,2.66,2.65,(0.38),2.72,3.28,20.59,,,,6.69,3.65,,69.26,3.65
CK Asset Holdings Limited (SEHK:1113),4595745,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Land Sub Dividers And Developers; Real Estate Management and Development,3.47,3.04,3.80,4.62,5.82,"110,053.27",4.42,8.56,4.72,5.71,5.08,4.42,26.62,NA,38.13,38.13,42.18,55.50,56.25,1.35,55.95,39.80,(28.87),40.20,49.15,22.26,48.85,48.05,(1.64),48.10,39.20,(18.50),,,,3.47,1.35,,26.62,1.35
CK Infrastructure Holdings Limited (SEHK:1038),4157499,SEHK,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Transmission and Control,4.38,5.91,4.99,6.14,5.88,"107,335.43",6.11,9.03,5.83,5.97,6.06,6.11,65.86,95.55,90.74,87.27,NA,58.30,55.45,(4.89),55.35,41.65,(24.75),42.25,49.65,17.51,49.55,40.85,(17.56),41.10,43.20,5.11,,,,4.38,-4.89,,65.86,-4.89
CLP Holdings Limited (SEHK:2),5001227,SEHK,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Generation By Nuclear Fuels,3.76,4.30,3.94,5.44,4.81,"153,481.87",6.73,4.71,10.20,7.50,1.23,6.73,159.83,67.12,90.76,736.78,115.28,87.25,81.90,(6.13),82.45,71.70,(13.04),73.05,78.75,7.80,79.75,56.95,(28.59),56.95,64.45,13.17,,,,3.76,-6.13,,159.83,-6.13
CMOC Group Limited (SEHK:3993),4349148,SEHK,Materials; Materials; Metals and Mining; Diversified Metals and Mining; Chemical And Fertilizer Mineral Mining; Phosphate Rock; Smelting and Refining of Diversified Metals,3.74,0.93,0.97,2.33,2.20,"196,549.48",12.73,3.56,5.12,11.36,13.04,12.73,226.34,113.24,47.70,78.98,76.01,2.82,3.34,18.44,3.50,5.06,44.57,5.58,4.11,(26.34),4.12,3.60,(12.62),3.70,4.27,15.41,,,,3.74,18.44,,226.34,18.44
CNOOC Limited (SEHK:883),4157445,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Oil and Gas Exploration and Production; Oil and Gas Production",5.63,9.05,6.85,7.01,10.31,"943,596.83",19.60,14.06,5.66,15.35,26.23,19.60,47.46,103.59,29.11,54.61,47.04,11.32,12.96,14.49,12.98,7.18,(44.68),7.05,8.03,13.90,8.09,9.98,23.36,10.10,13.00,28.71,,,,5.63,14.49,,47.46,14.49
"COSCO SHIPPING Development Co., Ltd. (SEHK:2866)",4994889,SEHK,Industrials; Capital Goods; Trading Companies and Distributors; Trading Companies and Distributors; Machinery Rental and Leasing,4.08,3.92,4.74,25.45,11.83,"28,999.07",4.84,8.25,8.30,20.27,12.74,4.84,294.22,222.15,57.31,147.98,370.17,0.78,0.92,17.95,0.93,1.26,35.48,1.42,1.42,0.00,1.44,1.04,(27.78),1.04,0.80,(23.08),,,,4.08,17.95,,294.22,17.95
"COSCO SHIPPING International (Hong Kong) Co., Ltd. (SEHK:517)",4995280,SEHK,Industrials; Transportation Infrastructure; Marine Ports and Services; Transportation,7.80,6.75,10.71,7.94,11.18,"5,233.52",7.46,4.07,4.18,3.61,4.44,7.46,74.19,72.45,135.57,88.34,NA,2.73,2.05,(24.91),2.07,2.37,14.49,2.45,2.38,(2.86),2.39,2.52,5.44,2.50,3.04,21.60,,,,7.80,-24.91,,74.19,-24.91
COSCO SHIPPING Ports Limited (SEHK:1199),4995303,SEHK,Industrials; Transportation; Transportation Infrastructure; Marine Ports and Services,4.80,5.88,5.01,5.44,4.47,"15,430.30",5.86,6.04,6.15,6.09,5.73,5.86,24.70,14.60,40.76,18.83,NA,7.37,6.38,(13.43),6.50,5.39,(17.08),5.60,6.77,20.89,6.90,6.20,(10.14),6.23,5.64,(9.47),,,,4.80,-13.43,,24.70,-13.43
Country Garden Services Holdings Company Limited (SEHK:6098),10372784,SEHK,Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Management Services; Nonresidential Property Managers; Residential Property Managers; Real Estate Management and Development,0.36,0.32,0.57,1.81,2.35,"14,709.29",1.31,42.91,25.48,15.95,5.78,1.31,13.55,15.52,16.78,44.32,NA,11.88,26.25,120.96,26.10,52.45,100.96,51.15,46.70,(8.70),44.60,19.44,(56.41),19.38,6.75,(65.17),,,,0.36,120.96,,13.55,120.96
CPMC Holdings Limited (SEHK:906),4983459,SEHK,"Materials; Materials; Containers and Packaging; Metal, Glass and Plastic Containers; Metal Packaging; Aerosol Packaging; Metal Cans; Metal Shipping Barrels, Drums, Kegs, And Pails; Plastic Packaging; Plastic Bottles",4.00,4.33,5.62,6.02,3.61,"7,571.28",8.33,5.86,7.35,8.36,8.40,8.33,46.72,39.86,62.59,49.20,51.60,3.67,3.40,(7.36),3.32,3.58,7.83,3.55,4.36,22.82,4.26,4.22,(0.94),4.28,6.73,57.24,,,,4.00,-7.36,,46.72,-7.36
Crystal International Group Limited (SEHK:2232),8917987,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Apparel, Accessories and Luxury Goods; Apparel; Specialty Apparel; Athletic Uniforms; Women's, Misses', and Juniors' Apparel; Textiles, Apparel and Luxury Goods; Women's, Misses', and Juniors' Blouses, Shirts and Sweaters; Women's, Misses', and Juniors' Underwear and Nightwear; Women's Intimate Apparel",3.86,5.25,1.53,6.09,5.79,"9,671.07",11.79,14.65,9.60,13.29,13.13,11.79,29.72,39.16,22.06,31.24,NA,3.82,3.21,(15.97),3.26,2.38,(26.99),2.48,2.62,5.65,2.63,2.43,(7.60),2.50,2.90,16.00,,,,3.86,-15.97,,29.72,-15.97
"CSC Financial Co., Ltd. (SEHK:6066)",5000115,SEHK,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Investment Banking; Private Placement Advisory Services; Security Underwriting Services; Debt Underwriting Services; Equity Underwriting Services; Investment Brokerage Services; Securities and Commodities Markets Services; Security Brokers and Dealers; Security Brokers,3.05,2.48,5.28,6.78,4.25,"157,896.69",7.39,10.56,15.26,13.82,8.69,7.39,NA,NA,NA,NA,NA,4.33,6.72,55.20,6.94,10.30,48.41,10.78,8.53,(20.87),8.49,6.83,(19.55),6.84,6.90,0.88,,,,3.05,55.20,,NA,55.20
CSPC Pharmaceutical Group Limited (SEHK:1093),4810448,SEHK,"Health Care; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Anti-infective Drugs; Antibiotics; Cardiovascular Drugs; Central Nervous System Drugs; Oncology Drugs; Respiratory Drugs; Pharmaceutical Research and Development; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceutical Products; Antifungal Drugs; Generic Pharmaceuticals; Hematologic Drugs",0.97,1.13,2.01,2.44,3.44,"68,925.52",18.22,21.30,24.54,22.79,21.32,18.22,25.99,29.61,30.16,34.42,NA,5.56,9.68,73.97,9.73,7.93,(18.49),7.98,8.47,6.14,8.47,8.20,(3.19),8.32,7.26,(12.74),,,,0.97,73.97,,25.99,73.97
CSSC (Hong Kong) Shipping Company Limited (SEHK:3877),7760787,SEHK,Financials; Financial Services; Financial Services; Specialized Finance; Credit Agencies; Business Credit Agencies; Finance Leasing,2.29,7.34,8.26,7.76,6.76,"8,230.02",15.62,12.56,12.77,14.53,15.95,15.62,20.84,44.28,40.86,32.78,32.27,NA,1.31,#VALUE!,1.28,1.09,(14.84),1.10,1.09,(0.91),1.10,1.16,5.45,1.17,1.48,26.50,,,,2.29,#VALUE!,,20.84,#VALUE!
Dah Sing Banking Group Limited (SEHK:2356),4296393,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,4.61,5.40,4.80,6.07,7.94,"8,490.74",5.90,8.20,5.19,5.51,5.27,5.90,30.12,28.24,28.83,36.37,48.94,13.70,10.42,(23.94),10.58,7.96,(24.76),7.93,6.66,(16.02),6.72,5.60,(16.67),5.81,5.04,(13.25),,,,4.61,-23.94,,30.12,-23.94
Dah Sing Financial Holdings Limited (SEHK:440),4217301,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,4.82,6.18,4.24,5.86,7.31,"6,407.48",5.29,6.94,4.44,4.72,4.22,5.29,27.83,25.94,25.89,29.76,40.19,37.55,30.70,(18.24),30.70,21.85,(28.83),22.15,23.60,6.55,23.60,18.08,(23.39),18.96,16.00,(15.61),,,,4.82,-18.24,,27.83,-18.24
Dongfang Electric Corporation Limited (SEHK:1072),4987681,SEHK,"Industrials; Capital Goods; Electrical Equipment; Heavy Electrical Equipment; Power Generation Equipment; Engines and Turbines; Steam, Gas, and Hydraulic Turbines; Motors and Generators; Generators",2.66,3.96,1.65,2.03,5.13,"54,931.22",9.13,4.42,5.86,7.04,8.14,9.13,30.98,35.86,23.81,26.50,30.69,4.55,4.70,3.30,4.89,5.67,15.95,6.10,13.12,115.08,13.92,13.28,(4.60),13.92,7.14,(48.71),,,,2.66,3.30,,30.98,3.30
Dongyue Group Limited (SEHK:189),6256048,SEHK,Materials; Materials; Chemicals; Specialty Chemicals,8.10,3.74,1.15,3.96,10.62,"11,158.66",3.45,18.99,9.27,20.49,24.47,3.45,43.23,55.43,11.87,16.22,NA,4.06,4.32,6.40,4.50,6.15,36.67,6.18,12.16,96.76,12.56,8.59,(31.61),8.83,5.65,(36.01),,,,8.10,6.40,,43.23,6.40
"Dynagreen Environmental Protection Group Co., Ltd. (SEHK:1330)",4988791,SEHK,"Industrials; Commercial and Professional Services; Commercial Services and Supplies; Environmental and Facilities Services; Sanitary Services; Hazardous Waste Collection, Treatment and Disposal Services; Sewer Cleaning and Rodding; Solid Waste Collection, Treatment and Disposal Services",3.46,3.39,6.12,4.63,5.60,"8,048.06",8.25,12.69,10.66,11.12,10.65,8.25,108.34,110.58,104.57,84.00,99.32,3.13,3.29,5.11,3.35,3.22,(3.88),3.27,4.01,22.63,4.16,2.52,(39.42),2.55,2.35,(7.84),,,,3.46,5.11,,108.34,5.11
EEKA Fashion Holdings Limited (SEHK:3709),4912352,SEHK,"Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Apparel and Accessory Retail; Specialty Retail; Apparel Retail; Online Apparel Retail; Women's, Misses', and Juniors' Apparel Stores",3.52,1.12,2.86,4.29,2.82,"8,348.76",19.48,17.84,13.21,15.17,9.48,19.48,33.79,20.81,37.50,73.82,NA,9.77,9.08,(7.06),9.02,14.30,58.54,14.22,13.30,(6.47),11.40,11.20,(1.75),10.00,14.18,41.80,,,,3.52,-7.06,,33.79,-7.06
